id,title,author,year_of_publication,publisher,,,
1004,"Fall Of Shane Mackade (The Mackade Brothers) (Silhouette Special Edition, No 1022)",Nora Roberts,1996,Silhouette,,,
1005,"The Perfect Neighbor (The Macgregors) (The Macgregors : Special Edition Series, No 1232)",Nora Roberts,1999,Silhouette,,,
1006,And Babies Make Four  (Manhattan Multiples),Marie Ferrarella,2003,Silhouette,,,
1007,"Marry Me ... Again   Montana Mavericks (Silhouette Special Edition, 1558)",Cheryl St. John,2003,Silhouette,,,
1008,"Practice Makes Pregnant   Manhattan Multiples (Silhouette Special Edition, 1569)",Lois Faye Dyer,2003,Silhouette,,,
1009,On The Verge (Red Dress Ink (Paperback)),Ariella Papa,2002,Red Dress Ink,,,
1010,Name &amp Address Withheld (Red Dress Ink (Paperback)),Jane Sigaloff,2002,Red Dress Ink,,,
1011,Carrie Pilby (Red Dress Ink (Paperback)),Caren Lissner,2003,Red Dress Ink,,,
1012,A Minor Indiscretion (Red Dress Ink (Paperback)),Carol Matthews,2003,Red Dress Ink,,,
1013,Starting From Square Two (Red Dress Ink),Caren Lissner,2004,Red Dress Ink,,,
1014,The Thin Pink Line (Red Dress Ink),Lauren Baratz-Logsted,2004,Red Dress Ink,,,
1015,"Between The Sheets (Harlequin Temptation, No 607)",Mallory Rush,1996,Harlequin,,,
1016,"Valentine Fantasy (Fantasy For Hire) (Harlequin Temptation, No. 767)",Jamie Denton,2000,Harlequin,,,
1017,Murder Of Muriel Lake,Shannon O'Cork,1990,Worldwide Library,,,
1018,Deadly Practice,Christine Green,1997,Worldwide Library,,,
1019,Death Flies On Final (Wwl Mystery),Jackie Lewin,2000,Worldwide Library,,,
1020,Poison Apples (Worldwide Library Mysteries),Nancy Wright,2001,Worldwide Library,,,
1021,"That Kind Of Girl (Silhouette Intimate Moments, No. 1116)",Kim Mckade,2001,Silhouette,,,
1022,Racing Against Time : Cavanaugh Justice (Intimate Moments),Marie Ferrarella,2003,Silhouette,,,
1023,One Eye Open (Intimate Moments),Karen Whiddon,2004,Silhouette,,,
1024,With Open Arms (Silhouette Single Title),Nora Roberts,2004,Silhouette,,,
1025,"Married By Midnight (Harlequin Historical, No. 622)",Judith Stacy,2002,Harlequin,,,
1026,The Wedding Knight,Joanne Rock,2004,Harlequin,,,
1027,"Mustang Man (Western Lovers, 4)",Lee Magner,1998,Harlequin,,,
1028,Painted Sunsets (Western Lovers Ranch Rogues),Rebecca Flanders,1987,Harlequin Enterprises Limited,,,
1029,His and Hers: Ranchin' Dads (Harlequin - Western Lovers),Pamela Bauer,1987,Harlequin,,,
1030,Return to Yesterday (Western Lovers Reunited Hearts),Annette Broadrick,1987,Harlequin Books SA,,,
1031,Lord/Hi Cliff Manor (Gothic Romances),Irene M. Pascoe,1986,Harlequin,,,
1032,A Snowball's Chance/ A Christmas Carol,Nikki Rivers,2001,Harlequin,,,
1033,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts,1998,Silhouette,,,
1034,Irish Hearts,Nora Roberts,2000,Silhouette,,,
1035,Sons of Texas : Callaway Country,Annette Broadrick,2000,Silhouette,,,
1036,Night Tales,Nora Roberts,2000,Silhouette,,,
1037,Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,Silhouette,,,
1038,"Sullivan'S Woman #22 (Nora Roberts : Language of Love, on 22)",Nora Roberts,1992,Silhouette,,,
1039,Sweet Enemy,Diana Palmer,2002,Silhouette,,,
1040,Worse Than a Crime,Anne Burton,1982,Harlequin,,,
1041,Hot Off the Press,Nancy Warren,2003,Harlequin,,,
1042,"Done Driftin' (The Dunleavy Legacy) (Harlequin Superromance, No 654)",Janis Flores,1995,Harlequin,,,
1043,"Man I Used To Know  (Love That Man) (Harlequin Superromance, 831)",Margot Dalton,1999,Harlequin,,,
1044,"Doctor'S Daughter  (Men Of Glory) (Harlequin Superromance, 835)",Judith Bowen,1999,Harlequin,,,
1045,"That Cowboy'S Kids (Home On The Ranch) (Harlequin Superromance, No. 910)",Debra Salonen,2000,Harlequin,,,
1046,"Coming Home To You (Harlequin Super Romance, No 961)",Fay Robinson,2001,Harlequin,,,
1047,"Beneath A Texas Sky (Count On A Cop) (Harlequin Superromance, No. 1034)",Rebecca Winters,2002,Harlequin,,,
1048,The Farmer's Wife,Lori Handeland,2002,Harlequin,,,
1049,North Country Man,Carrie Alexander,2002,Harlequin,,,
1050,The Comeback Girl  (Those Sullivan Sisters),Debra Salonen,2003,Harlequin,,,
1051,Sarah's Baby  (Koomera Crossing),Margaret Way,2003,Harlequin,,,
1052,Another Man's Wife,Rebecca Winters,2003,Harlequin,,,
1053,Little Girl Lost,Marisa Carroll,2003,Harlequin,,,
1054,"Those Christmas Angels (Harlequin Superromance, 1164)",Debbie Macomber,2003,Harlequin,,,
1055,"The Virgin's Secret Marriage   The Brides Of Holly Springs (Harlequin American Romance, No. 997)",Cathy Gillen Thacker,2003,Harlequin,,,
1056,"Tycoon'S Temptation (Silhouette Desire, No. 1414)",Katherine Garbera,2002,Silhouette,,,
1057,A Burning Obsession (Blaze),Susan Kearney,2004,Harlequin,,,
1058,A Careful Wife,Lindsay Armstrong,2002,Harlequin,,,
1059,Maitland Maternity Christmas: (3 Novels in 1),Muriel Jenson,2001,Harlequin,,,
1060,Comfortable Wife,Stephanie Laurens,2002,Harlequin,,,
1061,Witchcraft,Jayne Ann Krentz,2003,Harlequin,,,
1062,Powder and Patch,Georgette Heyer,2004,Harlequin,,,
1063,Family At Last (Love Inspired (Numbered)),Carolyne Aarsen,2000,Steeple Hill,,,
1064,Twin Blessings (Love Inspired (Numbered)),Carolyne Aarsen,2001,Steeple Hill,,,
1065,Mountain Laurel (Love Inspired (Numbered)),Kate Welsh,2002,Steeple Hill,,,
1066,The Corrections (Oprah Edition),Jonathan Franzen,2001,Farrar Straus Giroux,,,
1067,The Corrections,Jonathan Franzen,2001,Farrar Straus &amp Giroux,,,
1068,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,,,
1069,The Great Victorian Collection,Brian Moore,1975,Farrar Straus Giroux,,,
1070,Instances of the Number 3,Salley Vickers,2002,"Farrar, Straus and Giroux",,,
1071,The Museum Guard,Howard Norman,1998,Farrar Straus Giroux,,,
1072,Required Reading: Why Our American Classics Matter Now,Andrew Delbanco,1997,Farrar Straus &amp Giroux,,,
1073,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp Giroux,,,
1074,Reversible Errors: A Novel,Scott Turow,2002,Farrar Straus Giroux,,,
1075,Holes (Newbery Medal Book),Louis Sachar,1998,"Farrar, Straus and Giroux (BYR)",,,
1076,Lark in the Morning,Nancy Garden,1991,Farrar Straus &amp Giroux,,,
1077,The Year They Burned the Books,Nancy Garden,1999,Farrar Straus Giroux,,,
1078,Basin and Range,John McPhee,1982,Noonday Press,,,
1079,The Collected Stories of Isaac Bashevis Singer,Isaac Bashevis Singer,1983,Farrar Straus Giroux,,,
1080,The Dwarf,Par Lagerkvist,1958,Hill and Wang,,,
1081,"The Night Trilogy : Night, Dawn, The Accident",Elie Wiesel,1987,Hill and Wang,,,
1082,Coyote V. Acme,Ian Frazier,1997,Noonday Press,,,
1083,A Sense of Where You Are : Bill Bradley at Princeton,John McPhee,1999,"Farrar, Straus and Giroux",,,
1084,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,,,
1085,Breaking Clean,JUDY BLUNT,2002,Knopf,,,
1086,Pandora : New Tales of the Vampires,ANNE RICE,1998,Knopf,,,
1087,Rules of the Wild,Francesca Marciano,1998,Random House Inc,,,
1088,Night Watch : A Long-Lost Adventure in Which Sherlock Holmes Meets Father Brown,STEPHEN KENDRICK,2001,Pantheon,,,
1089,For the Relief of Unbearable Urges,Nathan Englander,1999,Alfred A. Knopf,,,
1090,Nobrow: The Culture of Marketing-The Marketing of Culture,John Seabrook,2000,Alfred A. Knopf,,,
1091,Italian Fever: A Novel,Valerie Martin,1999,Random House Inc,,,
1092,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,,,
1093,Waiting,Ha Jin,1999,Pantheon Books,,,
1094,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,,,
1095,"Executioner's Current: Thomas Edison, George Westinghouse, and the Invention of the Electric Chair",Richard Moran,2002,Alfred A. Knopf,,,
1096,True History of the Kelly Gang,Peter Carey,2001,Alfred A. Knopf,,,
1097,Blackwood Farm (The Vampire Chronicles),Anne Rice,2002,Alfred A. Knopf,,,
1098,Death in Holy Orders (Adam Dalgliesh Mysteries (Hardcover)),P.D. JAMES,2001,Knopf,,,
1099,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002,Knopf,,,
1100,Yeats Is Dead! A Mystery by 15 Irish Writers,Roddy Doyle,2001,Alfred A. Knopf,,,
1101,True Notebooks (Alex Awards (Awards)),MARK SALZMAN,2003,Knopf,,,
1102,Rapture,SUSAN MINOT,2002,Knopf,,,
1103,Nobody's Perfect: Selected Writings from the New Yorker,Anthony Lane,2002,Alfred A. Knopf,,,
1104,The Clearing,TIM GAUTREAUX,2003,Knopf,,,
1105,The Bridegroom: Stories (Great Reads),Ha Jin,2000,Pantheon Books,,,
1106,The Art of Travel,Alain de Botton,2002,Pantheon,,,
1107,Nigger - The Strange Career of a Troublesome Word,Randall Kennedy,2002,Pantheon Books,,,
1108,The Firm (Random House Large Print),JOHN GRISHAM,2004,Random House Large Print,,,
1109,Murder at the Library of Congress,Margaret Truman,1999,Random House Inc,,,
1110,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House,,,
1111,Amy and Isabelle,Elizabeth Strout,1999,Random House Inc,,,
1112,A Widow for One Year : A Novel,JOHN IRVING,1998,Random House,,,
1113,White Teeth,Zadie Smith,2000,Random House,,,
1114,Blessings,ANNA QUINDLEN,2002,Random House,,,
1115,My Cat Spit McGee,Willie Morris,1999,Random House Inc,,,
1116,Black House,Stephen King,2001,Random House Trade,,,
1117,The Dante Club : A Novel,Matthew Pearl,2003,Random House,,,
1118,Cloud Atlas : A Novel,DAVID MITCHELL,2004,Random House Trade Paperbacks,,,
1119,Bushwhacked : Life in George W. Bush's America,MOLLY IVINS,2003,Random House,,,
1120,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,Random House,,,
1121,The Threatening Storm: The Case for Invading Iraq,Kenneth M. Pollack,2002,Random House,,,
1122,The Fight: Norman Mailer,Norman Mailer,1997,Vintage Books USA,,,
1123,Powder Burn (Vintage Crime/Black Lizard),CARL HIAASEN,1998,Vintage,,,
1124,Trap Line (Vintage Crime/Black Lizard),Carl Hiaasen,1998,Vintage Books USA,,,
1125,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage,,,
1126,Personal History,Katharine Graham,1998,Vintage Books USA,,,
1127,American Pastoral,Philip Roth,1998,Vintage,,,
1128,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA,,,
1129,Ellen Foster,Kaye Gibbons,1997,Vintage Books,,,
1130,House of Leaves,Mark Z. Danielewski,2000,Pantheon Books,,,
1131,White Teeth: A Novel,Zadie Smith,2001,Vintage Books USA,,,
1132,Freedom Song: Three Novels,Amit Chaudhuri,2000,Vintage Books USA,,,
1133,Norwegian Wood (Vintage International Original),Haruki Murakami,2000,Vintage Books USA,,,
1134,Uncle Tungsten: Memories of a Chemical Boyhood,Oliver W. Sacks,2002,Vintage Books USA,,,
1135,Charlotte Gray,Sebastian Faulks,2000,Vintage Books USA,,,
1136,Some Lie and Some Die (Vintage Crime/Black Lizard),Ruth Rendell,1999,Vintage Books USA,,,
1137,A Judgement in Stone,Ruth Rendell,2000,Vintage Books USA,,,
1138,The Lake of Darkness,Ruth Rendell,2001,Random House~trade,,,
1139,Zen in the Art of Archery (Vintage Spiritual Classics),EUGEN HERRIGEL,1999,Vintage,,,
1140,Italian Fever: A Novel,Valerie Martin,2000,Vintage Books USA,,,
1141,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,,,
1142,Lying Awake,Mark Salzman,2001,Vintage Books USA,,,
1143,Waiting (Vintage International),Ha Jin,2000,Vintage Books USA,,,
1144,Midwives: A Novel,Chris Bohjalian,1998,Vintage,,,
1145,Embers,SANDOR MARAI,2002,Vintage,,,
1146,The Reader,Bernhard Schlink,1999,Vintage Books USA,,,
1147,I Don't Know How She Does It,ALLISON PEARSON,2003,Knopf,,,
1148,Born Free: A Lioness of Two Worlds,Joy Adamson,2000,Pantheon Books,,,
1149,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,Vintage Books USA,,,
1150,The Man Who Japed,Philip K. Dick,2002,Vintage Books USA,,,
1151,The Family Orchard,Nomi Eve,2001,Vintage Books USA,,,
1152,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA,,,
1153,Empire Falls,Richard Russo,2002,Vintage Books USA,,,
1154,The Future of Ideas: The Fate of the Commons in a Connected World,Lawrence Lessig,2002,Vintage Books USA,,,
1155,Newjack: Guarding Sing Sing (Vintage),Ted Conover,2001,Vintage Books USA,,,
1156,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003,Vintage,,,
1157,House of Sand and Fog,Andre Dubus III,2000,Vintage Books,,,
1158,"Hateship, Friendship, Courtship, Loveship, Marriage : Stories",Alice Munro,2002,Vintage,,,
1159,Yeats Is Dead! (Vintage Crime/Black Lizard),Joseph O'Connor,2002,Vintage Books USA,,,
1160,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,Modern Library,,,
1161,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,,,
1162,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books,,,
1163,The Iron Giant,Ted Hughes,1999,Knopf Books for Young Readers,,,
1164,James and the Giant Peach,ROALD DAHL,2002,Knopf Books for Young Readers,,,
1165,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers,,,
1166,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,,,
1167,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,,,
1168,The Guns of Avalon (Chronicles of Amber),Roger Zelazny,1996,Harper Mass Market Paperbacks (Mm),,,
1169,Awakening,Kate Chopin,1982,Avon,,,
1170,Watership Down,Richard Adams,1976,Avon,,,
1171,Man Who Fell to Earth,Walter Tevis,1976,Avon,,,
1172,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books,,,
1173,Fantastic Imagination,Robert Boyer,1978,Harper Mass Market Paperbacks (Mm),,,
1174,The Importance of Being Earnest,Oscar Wilde,1976,Avon,,,
1175,Jonathan Livingston Seagull,Richard Bach,1976,Avon,,,
1176,Lord of Light,Roger Zelazny,1969,Eos,,,
1177,Nine Princes In Amber,Roger Zelazny,1977,Avon,,,
1178,Love Story,Erich Segal,2002,HarperTorch,,,
1179,The Thorn Birds,Colleen McCullough,1978,Avon,,,
1180,A Pirate's Love,Johanna Lindsey,1978,Avon,,,
1181,The Fulfillment,LaVyrle Spencer,1979,Avon,,,
1182,Amanda Miranda,Richard Peck,1981,Harper Mass Market Paperbacks (Mm),,,
1183,Pigeon,Jay Bennett,1983,Harpercollins Juvenile Books,,,
1184,God Herself: Feminine Roots of Astrology,Geraldine Thorsten,1981,Harper Mass Market Paperbacks (Mm),,,
1185,How to Talk So Kids Will Listen and Listen So Kids Will Talk,Adele Faber,1991,Back Bay Books,,,
1186,The Indian in the Cupboard,Lynne Reid Banks,1999,HarperTrophy,,,
1187,The Kingdom: Arabia and the House of Sa'Ud,Robert Lacey,1983,Harper Mass Market Paperbacks (Mm),,,
1188,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),,,
1189,"100 Great Fantasy Short, Short Stories",Isaac Asimov,1987,Harper Mass Market Paperbacks (Mm),,,
1190,Inside-Outside Book of New York City,Herman Wouk,1986,Avon Books,,,
1191,Creed for the Third Millennium,Colleen McCullough,1986,Avon,,,
1192,The Ladies of Missalonghi,Colleen McCullough,1988,Avon,,,
1193,Fg Cooks American,J Smith,1990,Avon,,,
1194,Socks (Cleary Reissue),Beverly Cleary,1990,HarperTrophy,,,
1195,The Art of Living Single,Michael Broder,1990,Avon,,,
1196,CW2    (CO),L. HEATH,1991,Avon,,,
1197,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm),,,
1198,Desert Notes/River Notes,Barry Lopez,1990,Quill (HarperCollins),,,
1199,Fg Cooks 3 Ancient Cuis,J Smith,1991,Avon,,,
1200,Animal Liberation,Peter Singer,1991,Avon,,,
1201,"Mattimeo (Redwall, Book 3)",Brian Jacques,1998,Avon Books,,,
1202,A Soldier of the Great War,Mark Helprin,1992,Avon Books,,,
1203,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,,,
1204,Fg on Our Immigrant Ance,J Smith,1992,Avon,,,
1205,Halfway Home,Paul Monette,1992,Harpercollins,,,
1206,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,,,
1207,Cruel &amp Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994,Avon,,,
1208,Fear in Fenway: A Duffy House Mystery,Crabbe Evers,1994,Harper Mass Market Paperbacks (Mm),,,
1209,The Mystery of the Cupboard (Indian in the Cupboard),Lynne Reid Banks,1999,HarperTrophy,,,
1210,The List of 7,Mark Frost,1994,Avon,,,
1211,Ill Wind (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon Books,,,
1212,Jamaica Inn,Daphne Du Maurier,1995,Avon,,,
1213,The Indian in the Cupboard (rack) (Indian in the Cupboard),Lynne Reid Banks,1995,HarperTrophy,,,
1214,Endangered Species (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1998,Avon,,,
1215,Moon Music (Peter Decker &amp Rina Lazarus Novels (Paperback)),Faye Kellerman,1999,Avon,,,
1216,Notes from a Small Island,Bill Bryson,1997,Perennial,,,
1217,Wedding Night,Gary Devon,1997,AVON,,,
1218,Liberty Falling (Anna Pigeon Mysteries (Paperback)),Nevada Barr,2000,Avon,,,
1219,Babyhood,Paul Reiser,1998,Avon,,,
1220,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial,,,
1221,"Gone, Baby, Gone: A Novel",Dennis Lehane,1999,HarperTorch,,,
1222,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",Sue Townsend,1997,Perennial,,,
1223,"In the Garden of Iden (A Novel of the Company, Book 1)",Kage Baker,1998,Eos,,,
1224,"Sky Coyote (A Novel of the Company, Book 2)",Kage Baker,2000,Eos,,,
1225,Mystic River,Dennis Lehane,2002,HarperTorch,,,
1226,An Underachiever's Diary,Benjamin Anastas,1999,Perennial,,,
1227,Smack,Melvin Burgess,1999,HarperTempest,,,
1228,Florida Road Kill: A Novel,Tim Dorsey,2000,HarperTorch,,,
1229,Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,2002,Avon,,,
1230,Midnight Masquerade,Shirlee Busbee,1988,Avon Books,,,
1231,Whisper to Me of Love,Shirlee Busbee,1991,Harper Mass Market Paperbacks,,,
1232,Each Time We Love,Shirlee Busbee,1993,Harper Mass Market Paperbacks,,,
1233,The White Raven,Dianna L. Paxson,1989,Harper Mass Market Paperbacks (Mm),,,
1234,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,1988,Avon Books,,,
1235,Wayside School is Falling Down,Louis Sachar,1990,HarperTrophy,,,
1236,Moonlighting: 148 Great Ways to Make Money on the Side,Carl Hausman,1991,Harpercollins,,,
1237,Witch House,Norma Tadlock Johnson,1990,Harpercollins Juvenile Books,,,
1238,Without Due Process,J.A. Jance,1993,Avon,,,
1239,Xanth 15: The Color of Her Panties,Piers Anthony,1992,Eos,,,
1240,Tombley's Walk,Crosland Brown,1991,Harper Mass Market Paperbacks (Mm),,,
1241,"Black Thorn, White Rose",Ellen Datlow,1995,Eos,,,
1242,Forever in Your Embrace,Kathleen E. Woodiwiss,1993,Avon Books,,,
1243,"It Happened to Nancy : By an Anonymous Teenager, A True Story from Her Diary (Confident Collector)",Beatrice Sparks,1994,Avon,,,
1244,Magicnet,John Dechancie,1994,Harper Mass Market Paperbacks (Mm),,,
1245,Amber Beach (Donovan),Elizabeth Lowell,1998,Avon,,,
1246,Paradise Wild,Johanna Lindsey,1981,Avon,,,
1247,Rebecca,Daphne Du Maurier,1994,Avon,,,
1248,Midnight Lady,Rosemary Rogers,1997,Avon,,,
1249,Changer,Jane Lindskold,1998,Eos,,,
1250,"A Secret History : The Book Of Ash, #1 (Book of Ash)",Mary Gentle,1999,Eos,,,
1251,Neverwhere,Neil Gaiman,1998,Avon,,,
1252,American Gods,Neil Gaiman,2002,HarperTorch,,,
1253,The Queen's Necklace,Teresa Edgerton,2001,Eos,,,
1254,Out of Time : A Casey Jones Mystery (Casey Jones Mysteries),Katy Munger,1998,Avon,,,
1255,The Family Tree,Sheri S. Tepper,1998,Eos,,,
1256,Six Moon Dance,Sheri S. Tepper,1999,Eos,,,
1257,The Right Hand of Amon,Lauren Haney,1997,Avon,,,
1258,Island of the Sequined L,Christopher Moore,1998,William Morrow,,,
1259,To Bury the Dead,Craig Spector,2000,HarperTorch,,,
1260,Watermelon,Marian Keyes,1999,Avon,,,
1261,Faded Coat of Blue,Owen Parry,2000,Avon,,,
1262,Avalanche Soldier,Susan R. Matthews,1999,Eos (HarperCollins),,,
